"transaction_id";"account_id";"merchant_id";"amount_usd";"transaction_date"
"TXN3JU8T2UR9RTYLZ";"ACCVHEYGR1LSIVP";"MERART77DZKGDI8";3938.72;"2024-04-05 02:42:12"
"TXN0QR38JN8YHN6N9";"ACCCREBAHCPNAZI";"MERR1OD53WIR1MB";3203.86;"2023-06-07 10:11:29"
"TXNH4G9NBQWO1FH6M";"ACC06I3HNB3O17E";"MER5811RKYAECJ9";6860.99;"2020-02-01 13:10:38"
"TXN7C73I49JI5B6TI";"ACCRGGLY3QA8CRG";"MERMFFF1AWJDTSD";3627.41;"2024-03-05 13:17:20"
"TXNA5V8HMUAAO7FO5";"ACCFQMM8OON0CFQ";"MER3TZEVINAKNWW";8580.63;"2020-03-29 04:43:10"
"TXNZTXAGR72G85030";"ACCLN549JSNLCKL";"MER4OLY1L2KCLLB";6748.43;"2021-08-09 00:12:51"
"TXNMSR8BC7BZLOISM";"ACC18F54KIK49WH";"MER1GVIJLRY82FO";5803.54;"2019-09-13 15:26:06"
"TXNZCVBCR21SWD89G";"ACCY7YPLLYHFJF9";"MERCEDWC0DEGCM4";7968.93;"2021-03-15 09:27:39"
"TXNNTMLNPA73GGJG7";"ACCP7IBVAR5JGEV";"MER11SDKE4JB79F";8723.73;"2021-11-02 05:36:35"
"TXNKP5AQECB9ARI5V";"ACCSYRF6SLKSQDF";"MERAZBX7LBRXRIH";5619.12;"2019-04-22 23:57:03"
"TXNBPOZ64737VOYAI";"ACC8IF1UNQIKV2S";"MER5O73KQOLFA9X";416.34;"2021-05-30 18:41:50"
"TXNL0TYUHR6PMYVUA";"ACCH5GQ0PMDJ9DO";"MERUW6CK524IJFT";1867.37;"2021-08-03 19:21:21"
"TXNV394KBLO3MSH3W";"ACCIO9XX9O2ZU0H";"MERN2M7X401C34Y";8377.42;"2021-05-29 15:13:55"
"TXND6MEBI1LZURSJE";"ACCBOM7YVVEPMBT";"MERX0NEQB1RH7Z9";1170.01;"2025-07-23 08:43:26"
"TXN1W1IJ4PEYQ057C";"ACC4WD2IJNGKN28";"MER5AXB8LKHO47M";1449.0;"2025-01-01 07:15:31"
"TXN7EQXQ4RYJUYI3L";"ACCOSPOG03SC7GE";"MERUI1ZTCBRAHPA";1100.45;"2022-10-08 17:40:07"
"TXNVQRYD9CTT9V53D";"ACC5E12T7HYIMP2";"MERHRGUPJKVPL7G";1556.72;"2020-11-15 14:05:18"
"TXN8K942QCUX33Y2U";"ACC151XGFY7KMQO";"MERXFAZP9A864GD";6737.8;"2025-09-11 20:48:50"
"TXNADNB60169HKDEM";"ACC5SCQRSKHZF4S";"MERY6TAJZWNU0LJ";6481.29;"2022-08-01 04:14:51"
"TXN0H2L1CKL4VIOJ5";"ACC5FYKL45LSL41";"MEREMFSB7UURAFT";1699.54;"2023-03-15 20:34:15"
"TXNT89KWF65TDJ108";"ACC6Q8FKOS3CDCN";"MERU5M8EWD83M5X";4766.89;"2025-02-08 06:36:56"
"TXNYSJ2UV2QNG86SC";"ACCQ03L9CGTQPW0";"MER8CLLKJNSKEOM";9700.81;"2020-01-28 10:50:56"
"TXNIS858ND7PFQ5JX";"ACCEX86RNZ7BIE1";"MER241MEGX9YOOV";4744.57;"2021-11-06 22:49:09"
"TXNAQBIJIZED48KY8";"ACCODQ57YBI5MCD";"MERLU3U5EKTWWJ4";6416.48;"2023-07-22 13:38:27"
"TXNORKO499WCNPSZF";"ACCCKWLVQZK6JJ9";"MERU14G67SPHP9O";5298.24;"2019-12-13 22:51:51"
"TXNW7JWH8G6269X5V";"ACCRD97YG69HNCU";"MERWKZX9S4LT00B";1786.69;"2025-09-11 09:41:33"
"TXNV783DSLKSGNHH0";"ACCMLCUPG79IYJ1";"MER9T3G5ZBPYJ05";7159.95;"2023-07-08 21:38:44"
"TXNFXPCS8L1GG5J4P";"ACCQVMGNSMKGFRK";"MER6OM3L554MFG7";3660.8;"2025-10-08 16:07:23"
"TXNLWU07UE5WL6KRW";"ACC9Q36UEWVQ8UF";"MERRI1A10ZBMV62";3581.5;"2025-06-09 23:42:14"
"TXN0E05H0T6INTO35";"ACC3JF14R5OAXO0";"MERAEM0JQ17SNIK";4266.31;"2022-08-26 17:58:51"
"TXN44PD0BLZ8O222H";"ACCPJU5RU9ZLMLQ";"MERRAS4K23UGE5L";2654.36;"2020-05-29 12:13:25"
"TXNY9E7P5SWXREOIO";"ACCLSP97LARDPO1";"MER63J7RN8YUB6F";903.32;"2024-04-02 18:52:33"
"TXNEIEP0PZJCA06AM";"ACC3QZOIOY0MG0Q";"MER7ECQ01NT3FLM";2241.44;"2025-03-08 14:14:29"
"TXNMD9N8O32LBTBKY";"ACCPOFLDHMTLENB";"MER5IUYX1Y7TL9U";5687.44;"2020-05-22 02:55:50"
"TXNB8TMLPS7JY6AGG";"ACCSA33BJ8EJDS2";"MERVAGF6DMKFX4V";1714.0;"2025-03-06 13:09:29"
"TXNY4VS4FP32QZ4G3";"ACCS39IB0D29WFA";"MERA80ANKHETOJ8";4158.13;"2022-05-02 15:02:05"
"TXNLBLN7VLV9842TL";"ACCPNC7R0X7QN2O";"MERCS1IA41E4PUN";2459.6;"2019-10-10 19:54:27"
"TXNLFMKVG5673EU54";"ACCWHDWJIXMWUFD";"MERMCQ3IXOQHHJP";903.03;"2024-08-17 13:08:20"
"TXN03TO881BG81QWQ";"ACC8SY5VZQ7K0N1";"MER2T198FWIJINR";9334.21;"2023-09-11 08:25:50"
