product_id,product_name,category,sub_category,brand,supplier_name,unit_cost,selling_price,weight_kg,fragile,perishable,reorder_level,lead_time_days,product_rating
PROD501,Smartphone 5G,Electronics,Mobile Phones,Realme,Agarwal Traders,15670,19180,0.19,Yes,No,50,5,4.4
PROD502,Feature Phone,Electronics,Mobile Phones,Vivo,Naveen Enterprises,900,1040,0.11,No,No,200,4,4.3
PROD503,Foldable Phone,Electronics,Mobile Phones,Vivo,Prime Wholesale,73950,91290,0.24,Yes,No,200,8,3.7
PROD504,Budget Smartphone,Electronics,Mobile Phones,Samsung,National Distributors,8790,9990,0.18,Yes,No,75,7,4.9
PROD505,Gaming Phone,Electronics,Mobile Phones,OnePlus,Jayshree Enterprises,28070,33350,0.23,Yes,No,100,6,4.7
PROD506,Gaming Laptop,Electronics,Laptops,Apple,Naveen Enterprises,77570,87850,2.92,Yes,No,300,7,4.3
PROD507,Business Laptop,Electronics,Laptops,Lenovo,Desi Distributors,58090,69150,1.46,Yes,No,100,4,5.0
PROD508,Student Laptop,Electronics,Laptops,HP,Bharat Supply Co,35600,40510,2.08,Yes,No,75,7,3.9
PROD509,Ultrabook,Electronics,Laptops,HP,Bharat Supply Co,98560,120260,1.14,Yes,No,250,9,3.5
PROD510,Chromebook,Electronics,Laptops,Apple,Lakshmi Supply Co,18180,20840,1.58,Yes,No,200,6,3.6
PROD511,2-in-1 Laptop,Electronics,Laptops,Lenovo,Imperial Distributors,77930,93330,1.22,Yes,No,100,5,3.9
PROD512,Wireless Mouse,Electronics,Computer Accessories,Logitech,National Distributors,620,850,0.11,Yes,No,150,9,3.9
PROD513,Mechanical Keyboard,Electronics,Computer Accessories,Zebronics,Star Enterprises,2140,2620,1.08,Yes,No,250,9,4.3
PROD514,USB Hub,Electronics,Computer Accessories,Portronics,Excel Distributors,630,790,0.11,No,No,300,5,3.3
PROD515,Webcam HD,Electronics,Computer Accessories,Logitech,Prime Wholesale,1210,1480,0.26,Yes,No,150,9,3.9
PROD516,Mouse Pad XL,Electronics,Computer Accessories,Zebronics,ABC Supplies,390,540,0.4,No,No,50,10,4.4
PROD517,Laptop Stand,Electronics,Computer Accessories,Portronics,Patel Trading Co,1450,1950,0.73,No,No,75,6,4.0
PROD518,Monitor Arm,Electronics,Computer Accessories,HyperX,Lakshmi Supply Co,4410,5800,2.27,No,No,250,8,3.7
PROD519,TWS Earbuds,Electronics,Audio Devices,Skullcandy,Golden Supply,4360,5390,0.05,Yes,No,300,6,4.9
PROD520,Over-Ear Headphones,Electronics,Audio Devices,Sony,Lakshmi Supply Co,11260,14220,0.3,Yes,No,300,4,4.7
PROD521,Bluetooth Speaker,Electronics,Audio Devices,JBL,Naveen Enterprises,1350,1800,1.69,Yes,No,300,4,3.3
PROD522,Soundbar,Electronics,Audio Devices,Noise,Star Enterprises,17670,21170,3.33,Yes,No,200,7,4.8
PROD523,Neckband Earphones,Electronics,Audio Devices,Bose,Fortune Traders,2430,3330,0.06,No,No,250,10,3.8
PROD524,Smartwatch,Electronics,Wearable Tech,Noise,Agarwal Traders,11630,14750,0.06,Yes,No,100,4,3.2
PROD525,Fitness Band,Electronics,Wearable Tech,Amazfit,Eagle Enterprises,1420,1750,0.05,Yes,No,75,4,3.3
PROD526,Smart Ring,Electronics,Wearable Tech,Apple,Kumar Industries,20030,23830,0.02,Yes,No,75,5,4.2
PROD527,Smart Glasses,Electronics,Wearable Tech,Amazfit,Heritage Trading,20370,24730,0.07,Yes,No,50,7,3.4
PROD528,Formal Shirt,Clothing,Men's Wear,Zara,Fortune Traders,900,1180,0.26,No,No,250,10,5.0
PROD529,Casual T-Shirt,Clothing,Men's Wear,Allen Solly,Jayshree Enterprises,220,300,0.16,No,No,75,10,3.5
PROD530,Denim Jeans,Clothing,Men's Wear,Zara,Agarwal Traders,910,1160,0.81,No,No,50,7,4.0
PROD531,Chino Pants,Clothing,Men's Wear,Levi's,Imperial Distributors,670,900,0.4,No,No,50,8,4.9
PROD532,Polo Shirt,Clothing,Men's Wear,Peter England,Jayshree Enterprises,480,630,0.26,No,No,50,5,3.5
PROD533,Hoodie,Clothing,Men's Wear,Allen Solly,Heritage Trading,2180,2810,0.68,No,No,150,10,4.5
PROD534,Blazer,Clothing,Men's Wear,US Polo,Indian Traders Co,6480,8640,0.89,No,No,100,9,3.6
PROD535,Track Pants,Clothing,Men's Wear,Allen Solly,National Distributors,820,1090,0.31,No,No,200,9,4.1
PROD536,Kurti,Clothing,Women's Wear,Zara,Naveen Enterprises,940,1180,0.37,No,No,50,8,4.3
PROD537,Saree,Clothing,Women's Wear,Aurelia,Agarwal Traders,4390,5750,0.69,No,No,50,8,4.3
PROD538,Dress,Clothing,Women's Wear,Global Desi,Lakshmi Supply Co,2010,2680,0.33,No,No,250,6,4.5
PROD539,Leggings,Clothing,Women's Wear,Biba,Sharma Enterprises,270,340,0.21,No,No,300,9,4.9
PROD540,Palazzo Pants,Clothing,Women's Wear,W,Naveen Enterprises,590,810,0.31,No,No,200,4,3.7
PROD541,Crop Top,Clothing,Women's Wear,Fabindia,Sharma Enterprises,730,1010,0.14,No,No,300,6,4.2
PROD542,Salwar Suit,Clothing,Women's Wear,Fabindia,Excel Distributors,2410,3330,0.5,No,No,300,9,4.2
PROD543,Running Shoes,Clothing,Footwear,Skechers,Patel Trading Co,1750,2380,1.04,No,No,250,6,4.2
PROD544,Formal Shoes,Clothing,Footwear,Puma,Singh Supply Chain,1990,2490,1.04,No,No,300,6,3.7
PROD545,Sandals,Clothing,Footwear,Bata,Naveen Enterprises,600,830,0.49,No,No,300,4,3.7
PROD546,Sneakers,Clothing,Footwear,Nike,Mehra Logistics,2200,2730,0.9,No,No,200,6,4.5
PROD547,Loafers,Clothing,Footwear,Woodland,Keshav Traders,620,760,0.56,No,No,50,9,4.7
PROD548,Heels,Clothing,Footwear,Woodland,Sharma Enterprises,1770,2330,0.55,No,No,300,4,4.9
