date,format,opponent,venue,score,score_num,balls,fours,sixes,strike_rate,dismissal,tour
2019-10-10,Test,South Africa,Pune,254*,254,336,33,2,75.6,not out,v South Africa in India 2019
2017-12-02,Test,Sri Lanka,Delhi,243,243,287,25,,84.7,lbw,v Sri Lanka in India 2017
2016-12-08,Test,England,Wankhede,235,235,340,25,1,69.1,caught,v England in India 2016
2017-11-24,Test,Sri Lanka,Nagpur,213,213,267,17,2,79.8,caught,v Sri Lanka in India 2017
2016-10-08,Test,New Zealand,Indore,211,211,366,20,,57.7,lbw,v New Zealand in India 2016
2017-02-09,Test,Bangladesh,Hyderabad,204,204,246,24,,82.9,lbw,v Bangladesh in India 2017
2016-07-21,Test,West Indies,North Sound,200,200,283,24,,70.7,bowled,India in West Indies 2016 — v West Indies
2023-03-09,Test,Australia,Ahmedabad,186,186,364,15,,51.1,caught,v Australia in India 2023
2012-03-18,ODI,Pakistan,Mirpur,183,183,148,22,1,123.6,caught,
2014-12-26,Test,Australia,Melbourne,169,169,272,18,,62.1,caught,India in Australia 2015 — v Australia
2016-11-17,Test,England,Visakhapatnam,167,167,267,18,,62.5,caught,v England in India 2016
2023-01-15,ODI,Sri Lanka,Thiruvananthapuram,166*,166,110,13,8,150.9,not out,v Sri Lanka in India 2023
2018-02-07,ODI,South Africa,Cape Town,160*,160,159,12,2,100.6,not out,India in South Africa 2018 — v South Africa
2018-10-24,ODI,West Indies,Visakhapatnam,157*,157,129,13,4,121.7,not out,v West Indies in India 2018
2016-10-23,ODI,New Zealand,Mohali,154*,154,134,16,1,114.9,not out,v New Zealand in India 2016
2018-01-13,Test,South Africa,Centurion,153,153,217,15,,70.5,caught,India in South Africa 2018 — v South Africa
2018-08-01,Test,England,Birmingham,149,149,225,22,1,66.2,caught,India in England 2018 — v England
2015-01-06,Test,Australia,Sydney,147,147,230,20,,63.9,caught,India in Australia 2015 — v Australia
2014-12-09,Test,Australia,Adelaide,141,141,175,16,1,80.6,caught,India in Australia 2015 — v Australia
2018-10-21,ODI,West Indies,Guwahati,140,140,107,21,2,130.8,stumped,v West Indies in India 2018
2014-11-16,ODI,Sri Lanka,Ranchi,139*,139,126,12,3,110.3,not out,v Sri Lanka in India 2014
2018-10-04,Test,West Indies,Rajkot,139,139,230,10,,60.4,caught,v West Indies in India 2018
2015-10-22,ODI,South Africa,Chennai,138,138,140,6,5,98.6,caught,v South Africa in India 2015
2014-02-26,ODI,Bangladesh,Fatullah,136,136,122,16,2,111.5,bowled,India in Bangladesh 2014 — v Bangladesh
2019-11-22,Test,Bangladesh,Eden Gardens,136,136,194,18,,70.1,caught,v Bangladesh in India 2019
2025-11-30,ODI,South Africa,Ranchi,135,135,120,11,7,112.5,caught,v South Africa in India 2025
2012-02-28,ODI,Sri Lanka,Hobart,133*,133,86,16,2,154.7,not out,
2017-08-31,ODI,Sri Lanka,Colombo (RPS),131,131,96,17,2,136.5,caught,India in Sri Lanka 2017 — v Sri Lanka
2018-02-16,ODI,South Africa,Centurion,129*,129,96,19,2,134.4,not out,India in South Africa 2018 — v South Africa
2012-07-31,ODI,Sri Lanka,Colombo (RPS),128*,128,119,12,1,107.6,not out,
