partner,competition,partnerships,total_runs,highest,avg,image_url
Ajinkya Rahane,Test,67,3661,365,54.6, 
Cheteshwar Pujara,Test,83,3513,226,42.3, 
Murali Vijay,Test,24,1146,283,47.8, 
Ravindra Jadeja,Test,18,1006,225,55.9, 
Rohit Sharma,Test,26,999,173,38.4, 
Rohit Sharma,ODI,103,5743,246,55.8, 
Shikhar Dhawan,ODI,60,3430,212,57.2, 
Suresh Raina,ODI,43,2238,146,52.0, 
Gautam Gambhir,ODI,35,2000,224,57.1, 
MS Dhoni,ODI,50,1878,152,37.6, 
Rohit Sharma,T20I,40,1339,138,33.5, 
KL Rahul,T20I,27,906,100,33.6, 
Suresh Raina,T20I,20,657,134,32.9, 
Suryakumar Yadav,T20I,15,628,104,41.9, 
Shikhar Dhawan,T20I,17,615,94,36.2, 
AB de Villiers,IPL,77,3134,229,40.7, 
CH Gayle,IPL,60,2802,204,46.7, 
Faf du Plessis,IPL,41,2032,172,49.6, 
Dwaine Padikkal,IPL,43,2024,181,47.1,
Rajat Patidar,IPL,26,913,99,35.1,
