tour_id,tour,opponent,host_country,season,start_date,end_date,matches,formats,innings,runs,hs,avg,strike_rate,fours,sixes,away
India in New Zealand 2014 — v New Zealand|New Zealand,India in New Zealand 2014 — v New Zealand,New Zealand,New Zealand,2014,2014-01-19,2014-02-14,7,Test+ODI,9,505,123,63.12,80.54,58,8,yes
India in Bangladesh 2014 — v Bangladesh|Bangladesh,India in Bangladesh 2014 — v Bangladesh,Bangladesh,Bangladesh,2014,2014-02-26,2014-03-28,2,ODI+T20I,2,193,136,193,112.21,19,3,yes
Tournament in Bangladesh 2014|Sri Lanka,Tournament in Bangladesh 2014,Sri Lanka,Bangladesh,2014,2014-02-28,2014-04-06,2,ODI+T20I,2,125,77,62.5,114.68,9,5,yes
Tournament in Bangladesh 2014|Pakistan,Tournament in Bangladesh 2014,Pakistan,Bangladesh,2014,2014-03-02,2014-03-21,2,ODI+T20I,2,41,36*,41,95.35,4,1,yes
Tournament in Bangladesh 2014|West Indies,Tournament in Bangladesh 2014,West Indies,Bangladesh,2014,2014-03-23,2014-03-23,1,T20I,1,54,54,54,131.71,5,1,yes
Tournament in Bangladesh 2014|Australia,Tournament in Bangladesh 2014,Australia,Bangladesh,2014,2014-03-30,2014-03-30,1,T20I,1,23,23,23,104.55,2,1,yes
Tournament in Bangladesh 2014|South Africa,Tournament in Bangladesh 2014,South Africa,Bangladesh,2014,2014-04-04,2014-04-04,1,T20I,1,72,72*,-,163.64,5,2,yes
India in England 2014 — v England|England,India in England 2014 — v England,England,England,2014,2014-07-09,2014-09-07,10,Test+ODI+T20I,15,254,66,18.14,62.56,28,2,yes
v West Indies in India 2014|West Indies,v West Indies in India 2014,West Indies,India,2014,2014-10-08,2014-10-17,3,ODI,3,191,127,63.67,96.95,18,3,no
v Sri Lanka in India 2014|Sri Lanka,v Sri Lanka in India 2014,Sri Lanka,India,2014,2014-11-02,2014-11-16,5,ODI,5,329,139*,82.25,104.11,26,6,no
India in Australia 2015 — v Australia|Australia,India in Australia 2015 — v Australia,Australia,Australia,2015,2014-12-09,2015-03-26,7,Test+ODI,11,705,169,70.5,62.33,77,1,yes
Tournament in Australia 2015|England,Tournament in Australia 2015,England,Australia,2015,2015-01-20,2015-01-30,2,ODI,2,12,8,6,44.44,0,0,yes
Tournament in Australia 2015|Pakistan,Tournament in Australia 2015,Pakistan,Australia,2015,2015-02-15,2015-02-15,1,ODI,1,107,107,107,84.92,8,0,yes
Tournament in Australia 2015|South Africa,Tournament in Australia 2015,South Africa,Australia,2015,2015-02-22,2015-02-22,1,ODI,1,46,46,46,76.67,3,0,yes
Tournament in Australia 2015|U.A.E.,Tournament in Australia 2015,U.A.E.,Australia,2015,2015-02-28,2015-02-28,1,ODI,1,33,33*,-,80.49,5,0,yes
Tournament in Australia 2015|West Indies,Tournament in Australia 2015,West Indies,Australia,2015,2015-03-06,2015-03-06,1,ODI,1,33,33,33,91.67,5,0,yes
Tournament in New Zealand 2015|Ireland,Tournament in New Zealand 2015,Ireland,New Zealand,2015,2015-03-10,2015-03-10,1,ODI,1,44,44*,-,104.76,4,1,yes
Tournament in New Zealand 2015|Zimbabwe,Tournament in New Zealand 2015,Zimbabwe,New Zealand,2015,2015-03-14,2015-03-14,1,ODI,1,38,38,38,79.17,4,0,yes
Tournament in Australia 2015|Bangladesh,Tournament in Australia 2015,Bangladesh,Australia,2015,2015-03-19,2015-03-19,1,ODI,1,3,3,3,37.5,0,0,yes
India in Bangladesh 2015 — v Bangladesh|Bangladesh,India in Bangladesh 2015 — v Bangladesh,Bangladesh,Bangladesh,2015,2015-06-10,2015-06-24,4,Test+ODI,4,63,25,15.75,71.59,6,1,yes
India in Sri Lanka 2015 — v Sri Lanka|Sri Lanka,India in Sri Lanka 2015 — v Sri Lanka,Sri Lanka,Sri Lanka,2015,2015-08-12,2015-08-28,3,Test,6,233,103,38.83,51.78,24,1,yes
v South Africa in India 2015|South Africa,v South Africa in India 2015,South Africa,India,2015,2015-10-02,2015-12-03,10,Test+ODI+T20I,13,489,138,37.62,70.26,37,9,no
India in Australia 2016 — v Australia|Australia,India in Australia 2016 — v Australia,Australia,Australia,2016,2016-01-12,2016-01-31,8,ODI+T20I,8,580,117,96.67,114.17,50,8,yes
India in Bangladesh 2016 — v Bangladesh|Bangladesh,India in Bangladesh 2016 — v Bangladesh,Bangladesh,Bangladesh,2016,2016-02-24,2016-03-06,2,T20I,2,48,41*,48,120,6,0,yes
