format,date,opponent,venue,runs,balls,fours,sixes,not_out,dismissal,tour,away,season,match_ref,tour_id
ODI,2008-08-18,Sri Lanka,Dambulla,12,22,1,,,lbw,,yes,,ODI # 2742,
ODI,2008-08-20,Sri Lanka,Dambulla,37,67,6,,,caught,,yes,,ODI # 2745,
ODI,2008-08-24,Sri Lanka,Colombo (RPS),25,38,4,,,run out,,yes,,ODI # 2750,
ODI,2008-08-27,Sri Lanka,Colombo (RPS),54,66,7,,,bowled,,yes,,ODI # 2755,
ODI,2008-08-29,Sri Lanka,Colombo (RPS),31,46,3,1,,lbw,,yes,,ODI # 2756,
ODI,2009-09-14,Sri Lanka,Colombo (RPS),2,2,,,yes,not out,,yes,,ODI # 2889,
ODI,2009-09-26,Pakistan,Centurion,16,24,1,,,caught,,yes,,ODI # 2898,
ODI,2009-09-30,West Indies,Johannesburg,79,104,9,2,yes,not out,,yes,,ODI # 2904,
ODI,2009-10-25,Australia,Vadodara,30,41,3,,,caught,,no,,ODI # 2913,
ODI,2009-11-02,Australia,Mohali,10,16,1,,,caught,,no,,ODI # 2919,
ODI,2009-12-15,Sri Lanka,Rajkot,27,19,4,,,bowled,,no,,ODI # 2932,
ODI,2009-12-18,Sri Lanka,Nagpur,54,65,7,,,lbw,,no,,ODI # 2933,
ODI,2009-12-24,Sri Lanka,Eden Gardens,107,114,11,1,,caught,,no,,ODI # 2935,
ODI,2010-01-05,Sri Lanka,Mirpur,9,12,1,,,caught,,yes,,ODI # 2938,
ODI,2010-01-07,Bangladesh,Mirpur,91,102,7,,,caught,,yes,,ODI # 2939,
ODI,2010-01-10,Sri Lanka,Mirpur,71,68,9,,yes,not out,,yes,,ODI # 2941,
ODI,2010-01-11,Bangladesh,Mirpur,102,95,11,,yes,not out,,yes,,ODI # 2942,
ODI,2010-01-13,Sri Lanka,Mirpur,2,8,,,,caught,,yes,,ODI # 2943,
ODI,2010-02-21,South Africa,Jaipur,31,46,1,,,caught,,no,,ODI # 2961,
ODI,2010-02-27,South Africa,Ahmedabad,57,71,4,1,,caught,,no,,ODI # 2963,
ODI,2010-05-28,Zimbabwe,Bulawayo,0,,,,,run out,,yes,,ODI # 2981,
ODI,2010-05-30,Sri Lanka,Bulawayo,82,92,4,,,caught,,yes,,ODI # 2983,
ODI,2010-06-03,Zimbabwe,Harare,18,29,1,,,caught,,yes,,ODI # 2986,
ODI,2010-06-05,Sri Lanka,Harare,68,95,5,,,caught,,yes,,ODI # 2988,
T20I,2010-06-12,Zimbabwe,Harare,26,21,3,1,yes,not out,,yes,,T20I # 182,
ODI,2010-06-16,Bangladesh,Dambulla,11,22,,,,stumped,,yes,,ODI # 2993,
ODI,2010-06-19,Pakistan,Dambulla,18,27,1,,,bowled,,yes,,ODI # 2996,
ODI,2010-06-22,Sri Lanka,Dambulla,10,14,1,,,caught,,yes,,ODI # 2999,
ODI,2010-06-24,Sri Lanka,Dambulla,28,34,4,,,caught,,yes,,ODI # 3001,
ODI,2010-08-16,Sri Lanka,Dambulla,0,3,,,,caught,,yes,,ODI # 3032,
ODI,2010-08-25,New Zealand,Dambulla,8,16,1,,,caught,,yes,,ODI # 3039,
ODI,2010-08-28,Sri Lanka,Dambulla,37,57,5,,,caught,,yes,,ODI # 3040,
ODI,2010-10-20,Australia,Visakhapatnam,118,121,11,1,,caught,,no,,ODI # 3060,
ODI,2010-11-28,New Zealand,Guwahati,105,104,10,,,caught,,no,,ODI # 3070,
ODI,2010-12-01,New Zealand,Jaipur,64,73,8,,,caught,,no,,ODI # 3072,
ODI,2010-12-04,New Zealand,Vadodara,63,70,6,2,yes,not out,,no,,ODI # 3074,
ODI,2010-12-07,New Zealand,Bengaluru,0,2,,,,caught,,no,,ODI # 3076,
ODI,2010-12-10,New Zealand,Chennai,2,8,,,,caught,,no,,ODI # 3077,
T20I,2011-01-09,South Africa,Durban,28,19,5,,,bowled,,yes,,T20I # 196,
ODI,2011-01-12,South Africa,Durban,54,70,2,1,,caught,,yes,,ODI # 3079,
ODI,2011-01-15,South Africa,Johannesburg,22,34,1,,,run out,,yes,,ODI # 3080,
ODI,2011-01-18,South Africa,Cape Town,28,41,5,,,caught,,yes,,ODI # 3082,
ODI,2011-01-21,South Africa,Gqeberha,87,92,7,2,yes,not out,,yes,,ODI # 3084,
ODI,2011-01-23,South Africa,Centurion,2,6,,,,caught,,yes,,ODI # 3087,
ODI,2011-02-19,Bangladesh,Mirpur,100,83,8,2,yes,not out,,yes,,ODI # 3100,
ODI,2011-02-27,England,Bengaluru,8,5,1,,,bowled,,no,,ODI # 3110,
ODI,2011-03-06,Ireland,Bengaluru,34,53,3,,,run out,,no,,ODI # 3121,
ODI,2011-03-09,Netherlands,Delhi,12,20,2,,,bowled,,no,,ODI # 3124,
ODI,2011-03-12,South Africa,Nagpur,1,3,,,,caught,,no,,ODI # 3128,
ODI,2011-03-20,West Indies,Chennai,59,76,5,,,bowled,,no,,ODI # 3141,
ODI,2011-03-24,Australia,Ahmedabad,24,33,1,,,caught,,no,,ODI # 3143,
ODI,2011-03-30,Pakistan,Mohali,9,21,,,,caught,,no,,ODI # 3147,
ODI,2011-04-02,Sri Lanka,Wankhede,35,49,4,,,caught,,no,,ODI # 3148,
IPL,2011-04-09,Kochi Tuskers Kerala,Nehru Stadium,23,18,4,0,,lbw,,,IPL 2011,IPL-501200,
IPL,2011-04-12,Mumbai Indians,M Chinnaswamy Stadium,12,19,2,0,,caught (DJ Jacobs),,,IPL 2011,IPL-501205,
IPL,2011-04-14,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",71,51,5,3,,bowled,,,IPL 2011,IPL-501208,
IPL,2011-04-16,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",35,28,4,1,,caught (S Anirudha),,,IPL 2011,IPL-501211,
IPL,2011-04-22,Kolkata Knight Riders,Eden Gardens,30,24,3,1,,,,,IPL 2011,IPL-501222,
IPL,2011-04-26,Delhi Daredevils,Feroz Shah Kotla,56,40,8,2,,bowled,,,IPL 2011,IPL-501227,
